SS,Pos10wrtsRNAStart,DistTerm,Distance,sameStrand,DownDistance,sameDownStrand
0,-104,1000,0,0,0,0
0,-18,248,0,0,0,0
0,-61,722,0,0,0,0
0,-67,308,0,0,0,0
-0.7,-101,178,0,0,0,0
0,-74,0,-202,0,62,0
0,-80,0,-146,0,1074,0
-101,230,0,-157,0,0,1
-10.5,-1000,1000,-408,1,284,1
-10.6,-36,0,0,0,12,1
-10.8,-5,0,-139,1,62,1
-11.2,-25,0,-36,0,19,1
-11.2,-5,0,-343,1,0,1
-119,201,789,0,1,143,1
-12.3,-14,16,-92,1,161,1
-12.5,-18,124,-60,1,167,1
-12.5,-65,0,-28,0,104,0
-129.9,-15,0,-272,1,5,0
-13.3,-12,1000,-36,1,24,0
-13.4,-25,1000,-136,0,6,0
-13.8,-1000,1000,-193,1,70,1
-13.8,-14,204,-803,0,37,1
-13.8,-19,0,-116,1,99,0
-14,-15,1000,-348,1,136,0
-14.2,-10,0,-73,1,64,1
-14.2,41,1000,-82,1,124,1
-14.6,36,0,0,0,183,1
-14.8,-19,0,-36,0,190,0
-15.3,-15,1000,-95,0,53,0
-15.8,3,274,-29,0,296,1
-15.8,-61,0,-92,1,254,1
-16.2,-87,0,-33,0,260,0
-16.3,-55,1000,-103,0,34,1
-16.8,-1000,11,-48,0,0,1
-16.9,-7,0,-24,1,53,1
-17.4,-11,0,-7,1,85,1
-17.6,40,1000,-256,0,301,1
-18.2,-63,0,0,1,21,0
-18.4,-83,1000,-502,0,304,1
-18.62,93,1000,0,0,19,0
-19.3,-13,1000,-36,0,19,0
-19.7,-94,0,-302,0,0,1
-19.8,-13,0,-569,1,160,1
-20.1,-59,0,-167,1,184,1
-20.2,-13,0,-121,1,86,0
-20.3,-40,0,-170,1,424,0
-21.1,-76,0,-86,1,281,1
-21.3,-20,1000,-117,0,80,1
-21.6,-15,0,-6,1,168,1
-22.6,15,1000,-68,0,10,0
-22.7,-100,0,-270,1,97,1
-23.2,-18,0,-39,0,0,0
-23.3,-3,0,-5,1,16,1
-23.3,-5,0,-68,0,1008,1
-24.1,57,0,-50,1,61,1
-24,-35,1000,-19,0,6,0
-24.4,-15,1000,-11,0,19,0
-24.47,-1000,1000,0,1,15,1
-25,-15,0,-38,1,132,1
-25.2,-56,0,-15,0,664,0
-25.3,-35,1000,-120,1,162,1
-25.8,-1000,1000,-263,0,59,1
-26.1,-1000,1000,-70,0,251,0
-26,-14,1000,-252,1,123,0
-26.2,-14,122,-324,0,241,1
-26.3,-9,0,-6,0,55,0
-26.4,-14,0,-237,1,162,1
-26.4,18,0,-85,1,13,0
-26.7,-5,0,-408,1,731,1
-26.8,-16,1000,-211,0,111,1
-26,-83,269,-313,0,171,1
-27,-1000,1000,0,0,0,0
-27.1,-14,1000,-9,0,216,0
-2.72,56,284,-29,0,132,0
-27.6,29,0,0,1,124,1
-27.8,-14,1000,-53,0,38,1
-27.8,-21,1000,-32,1,3,1
-28.2,-21,0,-42,0,121,0
-28.5,-15,845,-80,0,7,0
-28.9,18,1000,-46,0,553,1
-29.2,-8,0,0,1,9,0
-29.5,3,0,0,1,1512,1
-29.9,-55,0,-7,1,117,1
-30,-19,0,-81,1,34,1
-30.4,-1000,42,-114,1,121,1
-30.9,-56,0,-29,0,346,0
-31.6,26,0,-5,1,181,0
