"SS"	"Pos10wrtsRNAStart"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"S_enterica_LT2_RAND_77"	-92.1	258	970	0	1	0	1
"S_enterica_LT2_RAND_225"	-14.5	95	554	0	1	0	1
"S_enterica_LT2_RAND_960"	-19.1	-109	1000	-355	0	0	1
"S_enterica_LT2_RAND_1057"	-35	-6	1000	0	0	0	0
"S_enterica_LT2_RAND_1097"	-0.7	5	1000	0	0	0	0
"S_enterica_LT2_RAND_1102"	-27.3	-75	186	0	1	0	1
"S_enterica_LT2_RAND_1114"	-11.1	39	0	0	1	31	0
"S_enterica_LT2_RAND_1154"	-15.1	54	406	0	0	0	0
"S_enterica_LT2_RAND_1484"	-63.9	31	1000	0	1	39	1
"S_enterica_LT2_RAND_1545"	-18.05	79	1000	0	1	0	1
"S_enterica_LT2_RAND_1600"	-11.7	-20	1000	0	0	0	0
"S_enterica_LT2_RAND_1616"	-59.9	140	1000	0	1	13	1
"S_enterica_LT2_RAND_1619"	-48.8	-23	1000	0	0	0	0
"S_enterica_LT2_RAND_1643"	-24.2	6	1000	0	0	0	0
"S_enterica_LT2_RAND_1665"	-37.2	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1681"	-28.1	-36	1000	0	1	0	1
"S_enterica_LT2_RAND_1689"	-24.3	-30	1000	0	1	0	1
"S_enterica_LT2_RAND_1696"	-97.4	-107	531	0	1	0	1
"S_enterica_LT2_RAND_1702"	-9.5	-79	1000	-119	1	125	1
"S_enterica_LT2_RAND_1703"	-4.6	-82	1000	-122	1	177	1
"S_enterica_LT2_RAND_1715"	-14.2	38	1000	0	1	0	1
"S_enterica_LT2_RAND_1727"	-69.2	126	1000	0	1	0	0
"S_enterica_LT2_RAND_1741"	-24.9	-80	1000	0	0	0	0
"S_enterica_LT2_RAND_1745"	-52.28	246	1000	0	1	0	1
"S_enterica_LT2_RAND_1769"	-146.6	322	1000	0	1	0	1
"S_enterica_LT2_RAND_1770"	-31.9	-1000	1000	0	1	12	1
"S_enterica_LT2_RAND_1771"	-7.1	3	1000	0	0	0	0
"S_enterica_LT2_RAND_1784"	-9.6	-88	1000	-112	1	57	1
"S_enterica_LT2_RAND_1787"	-12.8	-62	1000	0	0	0	0
"S_enterica_LT2_RAND_1794"	-89.1	359	672	0	1	0	1
"S_enterica_LT2_RAND_1804"	-42.6	68	1000	0	1	0	1
"S_enterica_LT2_RAND_24"	-19.4	41	1000	0	0	0	0
"S_enterica_LT2_RAND_27"	-83	214	1000	0	1	0	1
"S_enterica_LT2_RAND_47"	-242.8	620	1000	0	0	0	0
"S_enterica_LT2_RAND_50"	-63.8	-95	1000	0	0	0	0
"S_enterica_LT2_RAND_51"	-65.2	136	1000	0	0	0	0
"S_enterica_LT2_RAND_57"	-29	-49	1000	0	0	0	0
"S_enterica_LT2_RAND_68"	-48.5	-104	1000	0	0	0	0
"S_enterica_LT2_RAND_124"	-73.25	231	421	0	1	0	1
"S_enterica_LT2_RAND_146"	-27.6	-22	1000	0	0	0	0
"S_enterica_LT2_RAND_148"	-110.8	-37	1000	0	1	0	1
"S_enterica_LT2_RAND_154"	-17	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_160"	-10.6	70	1000	0	0	0	0
"S_enterica_LT2_RAND_162"	-5.3	-23	1000	0	1	0	1
"S_enterica_LT2_RAND_169"	-76.1	209	1000	0	0	0	0
"S_enterica_LT2_RAND_191"	-22	-28	1000	-22	1	0	1
"S_enterica_LT2_RAND_193"	-7.2	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_204"	-22.9	-61	1000	0	1	0	1
"S_enterica_LT2_RAND_213"	-13.7	-45	1000	0	0	0	0
"S_enterica_LT2_RAND_222"	-10.77	-93	1000	0	0	0	0
"S_enterica_LT2_RAND_223"	-19.6	50	1000	0	0	0	0
"S_enterica_LT2_RAND_230"	-10.4	-98	1000	0	0	0	0
"S_enterica_LT2_RAND_231"	-27.2	-56	1000	0	1	0	1
"S_enterica_LT2_RAND_249"	-33.8	-53	1000	0	0	0	0
"S_enterica_LT2_RAND_263"	-19	-4	1000	0	0	0	0
"S_enterica_LT2_RAND_269"	-23.3	-51	458	0	0	0	0
"S_enterica_LT2_RAND_277"	-37.2	47	1000	0	1	0	1
