"","SS","Pos10wrtsRNAStart","DistTerm","Distance","sameStrand","DownDistance","sameDownStrand","Class"
"DnaX",0.82176527355059,0,1,1,1,0,1,1
"sroC",0.523346447925173,0.719126506024096,0,1,0,0,0,1
"STnc650",0.517630465444288,0.856927710843373,0.542,1,0,0,1,1
"isrG_2",0.372578130799495,0,1,1,1,0,1,1
"isrG_3",0.266498403978918,0,1,1,1,0,1,1
"sraB",0.727488679385346,0.77710843373494,1,1,0,0,1,1
"STnc730",0.561947888055824,0.677710843373494,1,1,0,0,0,1
"STnc700-His_leader",0.303912107490164,0.962349397590361,1,1,0,0,1,1
"isrG_4",0.0920495880038602,0.885542168674699,0.767,1,0,0,0,1
"STnc460",0.818795932002079,0.75,1,1,0,0.0156765676567657,0,1
"S_enterica_LT2_RAND_327",0.875955756810927,0.801204819277108,0,0.996996996996997,1,0.0199198491277699,1,0
"S_enterica_LT2_RAND_1389",0.688144903867567,0.777861445783133,0,0.990284402049108,1,0.0142621404997643,1,0
"S_enterica_LT2_RAND_1601",0.863336055229753,0.723644578313253,1,0.977389153859742,1,0.00495049504950495,1,0
"S_enterica_LT2_RAND_498",0.688887239254695,0.719879518072289,0,0.934817170111288,1,0.00565770862800566,1,0
"S_enterica_LT2_RAND_601",0.766832454903125,0.756777108433735,0,0.983395159865748,0,0.00447901933050448,0,0
"S_enterica_LT2_RAND_1165",0.674782866899265,0.745481927710843,0.028,0.998940116587175,1,0.00707213578500707,1,0
"S_enterica_LT2_RAND_1181",0.699279934674486,0.792168674698795,0,0.984455043278573,0,0.00601131541725601,1,0
"S_enterica_LT2_RAND_1279",0.746789399450672,0.738704819277108,0.273,0.988164635223459,0,0.0133191890617633,1,0
"S_enterica_LT2_RAND_1473",0.719322990126939,0.708584337349398,0,0.972619678502031,0,0.002003771805752,0,0
"S_enterica_LT2_RAND_1505",0.87150174448816,0.69578313253012,1,0.969263381028087,1,0.00424328147100424,1,0
