"","SS","Pos10wrtsRNAStart","DistTerm","Distance","sameStrand","DownDistance","sameDownStrand","Class"
"DnaX",-19.2,-1000,1000,0,1,0,1,1
"DnaX1",0.82176527355059,0,1,1,1,0,1,1
"isrG_2",-79.71,-1000,1000,0,1,0,1,1
"isrG_21",0.372578130799495,0,1,1,1,0,1,1
"isrG_3",-94,-1000,1000,0,1,0,1,1
"isrG_31",0.266498403978918,0,1,1,1,0,1,1
"isrG_4",-117.5,176,767,0,0,0,0,1
"isrG_41",0.0920495880038602,0.885542168674699,0.767,1,0,0,0,1
"S_enterica_LT2_RAND_1165",-39,-10,28,-6,1,60,1,0
"S_enterica_LT2_RAND_11651",0.674782866899265,0.745481927710843,0.028,0.998940116587175,1,0.00707213578500707,1,0
"S_enterica_LT2_RAND_1181",-35.7,52,0,-88,0,51,1,0
"S_enterica_LT2_RAND_11811",0.699279934674486,0.792168674698795,0,0.984455043278573,0,0.00601131541725601,1,0
"S_enterica_LT2_RAND_1279",-29.3,-19,273,-67,0,113,1,0
"S_enterica_LT2_RAND_12791",0.746789399450672,0.738704819277108,0.273,0.988164635223459,0,0.0133191890617633,1,0
"S_enterica_LT2_RAND_1389",-37.2,33,0,-55,1,121,1,0
"S_enterica_LT2_RAND_13891",0.688144903867567,0.777861445783133,0,0.990284402049108,1,0.0142621404997643,1,0
"S_enterica_LT2_RAND_1473",-33,-59,0,-155,0,17,0,0
"S_enterica_LT2_RAND_14731",0.719322990126939,0.708584337349398,0,0.972619678502031,0,0.002003771805752,0,0
"S_enterica_LT2_RAND_1505",-12.5,-76,1000,-174,1,36,1,0
"S_enterica_LT2_RAND_15051",0.87150174448816,0.69578313253012,1,0.969263381028087,1,0.00424328147100424,1,0
"S_enterica_LT2_RAND_1601",-13.6,-39,1000,-128,1,42,1,0
"S_enterica_LT2_RAND_16011",0.863336055229753,0.723644578313253,1,0.977389153859742,1,0.00495049504950495,1,0
"S_enterica_LT2_RAND_327",-11.9,64,0,-17,1,169,1,0
"S_enterica_LT2_RAND_3271",0.875955756810927,0.801204819277108,0,0.996996996996997,1,0.0199198491277699,1,0
"S_enterica_LT2_RAND_498",-37.1,-44,0,-369,1,48,1,0
"S_enterica_LT2_RAND_4981",0.688887239254695,0.719879518072289,0,0.934817170111288,1,0.00565770862800566,1,0
"S_enterica_LT2_RAND_601",-26.6,5,0,-94,0,38,0,0
"S_enterica_LT2_RAND_6011",0.766832454903125,0.756777108433735,0,0.983395159865748,0,0.00447901933050448,0,0
"sraB",-31.9,32,1000,0,0,0,1,1
"sraB1",0.727488679385346,0.77710843373494,1,1,0,0,1,1
"sroC",-59.4,-45,0,0,0,0,0,1
"sroC1",0.523346447925173,0.719126506024096,0,1,0,0,0,1
"STnc460",-19.6,-4,1000,0,0,133,0,1
"STnc4601",0.818795932002079,0.75,1,1,0,0.0156765676567657,0,1
"STnc650",-60.17,138,542,0,0,0,1,1
"STnc6501",0.517630465444288,0.856927710843373,0.542,1,0,0,1,1
"STnc700-His_leader",-88.96,278,1000,0,0,0,1,1
"STnc700-His_leader1",0.303912107490164,0.962349397590361,1,1,0,0,1,1
"STnc730",-54.2,-100,1000,0,0,0,0,1
"STnc7301",0.561947888055824,0.677710843373494,1,1,0,0,0,1
"B_cenocepacia_au_1054_RAND_51",-44.1,33,-1,-71,1,1292,1,0
"B_cenocepacia_au_1054_RAND_511",0.636923762155742,0.777861445783133,-0.001,0.987458046281576,1,0.152286657237152,1,0
"B_cenocepacia_au_1054_RAND_52",-7.5,-22,-1,-117,0,36,1,0
"B_cenocepacia_au_1054_RAND_521",0.908618513844555,0.73644578313253,-0.001,0.97933227344992,0,0.00424328147100424,1,0
"C_trachomatis_RAND_34",-15.6,63,0,-96,0,111,1,0
"C_trachomatis_RAND_341",0.848489347487195,0.800451807228916,0,0.983041865394807,0,0.0130834512022631,1,0
"L_monocytogenes_RAND_64",-17.9,-42,0,-71,1,28,1,0
"L_monocytogenes_RAND_641",0.831415633583253,0.721385542168675,0,0.987458046281576,1,0.0033003300330033,1,0
"S_coelicolor_RAND_4",-172.1,-91,0,-583,1,194,1,0
"S_coelicolor_RAND_41",-0.313265533367976,0.684487951807229,0,0.897014661720544,1,0.0228665723715229,1,0
"s1195937",-7,-20,387,0,1,0,1,1
